DATAFLOW;LAST UPDATE;freq;nrg_bal;siec;unit;geo;TIME_PERIOD;OBS_VALUE;OBS_FLAG
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;1990;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;1991;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;1992;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;1993;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;1994;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;1995;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;1996;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;1997;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;1998;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;1999;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;2000;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;2001;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;2002;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;2003;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;2004;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;2005;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;2006;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;2007;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;2008;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;2009;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;2010;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;2011;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;2012;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;2013;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;2014;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;2015;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;2016;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;2017;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;2018;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;2019;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AL;2020;0.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AT;1990;6191.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AT;1991;6841.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AT;1992;4111.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AT;1993;2985.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AT;1994;3100.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AT;1995;4321.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AT;1996;5278.000;
ESTAT:NRG_BAL_S(1.0);14.12.2022 23:00;A;GEP;C0000X0350-0370;GWH;AT;1997;5831.000;
